Team ID,Team,OpenDota Rating,Wins,Losses,Tag
2677025,,1082.49,63,64,
813776,AncientWarriorsGaming,1082.39,74,75,GoL
7668567,Cloud9,1082.34,10,21,C9
8261152,Sable Hat,1082.29,11,5,SaH
8655309,DGG,1082.26,23,12,DGG
7468885,Focus Arena Junior,1082.19,14,10,FA.Jr
9292719,Acatsuki,1082.09,26,16,acAt
6465093,ForTheDream,1082.04,73,66,FTD
8336498,PentAce,1082.04,13,8,PA5
6266246,MOD ESPORTS,1081.95,11,5,MOD
9302709,Titan,1081.94,11,12,
8604313,DISrespect,1081.89,8,3,DIS
8800176,Purple Paradox,1081.89,50,54,PP
5767350,Elements Pro Gaming,1081.88,18,12,EPG
2242024,Quantic.Young,1081.86,23,13,Q.Yo
9143553,x5 Gaming,1081.69,30,32,x5 Gaming
8790759,Deep Ravage,1081.69,6,2,DR
6685660,fourzerozone,1081.5,8,3,[40z]
8540562,Tempest Double,1081.33,7,1,TD
8118436,Zero,1081.3,8,10,Zero
9530572,Evil Angels ,1081.24,6,1,EvilA.
6462854,Pavaga Junior,1081.23,36,34,PVG.J
6569799,Main Sabun,1081.14,8,2,MSabun
7391517,Jinx_Pro_Amanda,1081.1,8,2,JPA
9223943,Rabbits of Revenge,1081.05,62,39,Ror
2224698,O1d Boys,1080.92,26,20,Old boys
9132053,ua rejects,1080.88,8,4,ua
5124585,Alter Ego,1080.83,36,24,AlterEgo
5165603,EPHEMERAL TEAM,1080.74,8,2,PHMRL
9433231,Night foxes,1080.67,62,44,
9462373,HardBass Team,1080.64,5,3,HBT
9332046,Dominatrix,1080.61,157,118,DMX
6046775,Я НЕ ЧСВ,1080.56,5,0,НЕ ЧСВ 
7375887,TheMelDota2,1080.48,11,7,TMD
6846412,Pacific Esports,1080.4,8,5,Pacific
8168128,UD VESSUWAN,1080.4,160,131,UDV
2783809,Majapahit Esports,1080.39,9,4,[M]
2350559,UNKNOWN #####,1080.32,27,32,unknown
3783697,Smoking Parrot,1080.3,7,2,SP
5131954,,1080.08,32,33,
7937261,Monkey2,1079.93,23,27,
8195614,Just-_-Error,1079.75,13,23,JE
2025160,COCK SUCKER,1079.75,13,8,COCK
7171886,Reality Rift,1079.74,13,14,RR
6634461,Team Sincere,1079.61,330,358,Sincere
1856604,Team No Name [iR],1079.53,13,6,No Name
6897211,,1079.47,5,0,Falcon
9247046,Dark Horse,1079.46,37,51,
9524412,RCenjoers,1079.33,8,2,RcE
2199564,Jayce N.G,1079.19,24,17,Jayce NG
2447863,.Excelleration.,1079.14,6,1,XcL8
2748441,G1 Esports,1079.07,9,6,G1 Esports
8690662,Sneake,1079.04,7,2,Sneake
7698094,arteezy rusky,1079.04,7,2,Rtz
8690641,Let's go,1078.96,10,5,
9450071,Fusion Esports,1078.89,43,47,FSN
6878177,Sunder,1078.89,6,3,SND
5002054,QUAXIMA,1078.77,9,4,QUAXIMA
7565483,Extremist,1078.77,13,7,
7390051,VirtusPro,1078.75,7,2,VP
7217549,Five Brothers,1078.63,23,15,
2257636,Hard Warriors,1078.61,6,1,HW
7731406,Crossfire,1078.57,17,8,cF
7437621,Samorezi,1078.51,6,1,SMRZ
6354010,AsghaR,1078.46,5,0,AsGhaR
8937283,Ryoiki Tenkai,1078.45,36,27,RK
8320390,Tequila,1078.38,6,1,TQ
4763262,Lorem Ipsum,1078.19,19,11,Li
2970103,friends,1078.17,5,6,friends
9493344,Prodigy of God,1078.03,11,3,POG
9130807,Philippines,1078.0,10,4,PHI
