"version","match_id","leagueid","start_date_time","duration","cluster","replay_salt","radiant_win","pre_game_duration","match_seq_num","tower_status_radiant","tower_status_dire","barracks_status_radiant","barracks_status_dire","first_blood_time","lobby_type","human_players","game_mode","flags","engine","radiant_score","dire_score","radiant_team_id","radiant_logo","radiant_team_complete","dire_team_id","dire_logo","dire_team_complete","radiant_captain","dire_captain","patch","region","throw","loss","comeback","stomp","replay_url","series_id","series_type"
21.0,7875791205,16708,"2024-08-01 14:09:36",2050,151,1984096905.0,False,90,6627361279,"'0000011100000100'","'0000011111111110'","'00110011'","'00111111'",195,1,10,2,5,1,14,35,9359842.0,5.970154800985346e+18,0.0,8980714.0,2.2985866141531295e+18,0.0,322925642.0,196400041.0,55,5.0,"","",37.0,15849.0,"http://replay151.valve.net/570/7875791205_1984096905.dem.bz2",894980.0,1.0
21.0,7875792920,16059,"2024-08-01 14:12:06",1706,273,217452820.0,False,90,6627343152,"'0000011100000100'","'0000011110110110'","'00110011'","'00111111'",9,1,10,2,5,1,26,40,9426115.0,2.471989872563605e+18,1.0,8629324.0,2.518145430787228e+18,1.0,1068676453.0,1133046148.0,55,3.0,"","",4022.0,12433.0,"http://replay273.valve.net/570/7875792920_217452820.dem.bz2",895003.0,1.0
21.0,7875807166,15901,"2024-08-01 14:19:23",1330,183,1941091823.0,False,90,6627360124,"'0000011000000110'","'0000011111111111'","'00000011'","'00111111'",0,1,10,2,5,1,9,44,9467112.0,2.499016543989572e+18,0.0,9476890.0,2.5294160168990715e+18,0.0,895486980.0,285284832.0,55,8.0,"","",-573.0,23120.0,"http://replay183.valve.net/570/7875807166_1941091823.dem.bz2",895006.0,1.0
21.0,7875862267,16059,"2024-08-01 14:51:46",2126,273,377613450.0,False,90,6627408986,"'0000000000000110'","'0000011110110100'","'00010011'","'00111111'",90,1,10,2,1,1,35,40,8629324.0,2.518145430787228e+18,1.0,9426115.0,2.471989872563605e+18,1.0,76082922.0,1068676453.0,55,3.0,"","",3881.0,7623.0,"http://replay273.valve.net/570/7875862267_377613450.dem.bz2",895003.0,1.0
21.0,7875862532,15898,"2024-08-01 14:52:43",2714,271,1246560688.0,True,90,6627439022,"'0000011100100000'","'0000011100000100'","'00111110'","'00110011'",261,1,10,2,5,1,32,24,9476766.0,2.4855089161012e+18,1.0,8494848.0,2.5136412912575324e+18,0.0,1043631367.0,417604379.0,55,3.0,11753.0,23070.0,"","","http://replay271.valve.net/570/7875862532_1246560688.dem.bz2",895010.0,1.0
21.0,7875887921,15901,"2024-08-01 15:05:21",3048,185,1098410605.0,False,90,6627472204,"'0000000000000000'","'0000011110000100'","'00000011'","'00111111'",154,1,10,2,1,1,46,70,9476890.0,2.5294160168990715e+18,0.0,9467112.0,2.499016543989572e+18,0.0,1695617010.0,895486980.0,55,8.0,"","",2156.0,13175.0,"http://replay185.valve.net/570/7875887921_1098410605.dem.bz2",895006.0,1.0
21.0,7875903937,16901,"2024-08-01 15:14:43",1304,232,265449133.0,False,90,6627430028,"'0000011100110110'","'0000011111110100'","'00111111'","'00111111'",101,1,10,2,5,1,6,22,9080405.0,2.056502367326801e+18,1.0,8574561.0,2.2985873399398863e+18,0.0,179313961.0,183378746.0,55,25.0,"","",99.0,11453.0,"http://replay232.valve.net/570/7875903937_265449133.dem.bz2",895001.0,1.0
21.0,7875912821,16953,"2024-08-01 15:20:56",2143,272,135545136.0,True,90,6627459151,"'0000011100110110'","'0000011100000000'","'00111111'","'00110000'",111,1,10,2,5,1,35,18,9271759.0,2.297461440058923e+18,1.0,9247798.0,2.4697409345556777e+18,0.0,276449590.0,196041577.0,55,3.0,5126.0,10377.0,"","","http://replay272.valve.net/570/7875912821_135545136.dem.bz2",894999.0,1.0
21.0,7875941669,16059,"2024-08-01 15:37:16",1424,274,1582926429.0,False,90,6627457770,"'0000011100000100'","'0000011110110110'","'00110011'","'00111111'",171,1,10,2,5,1,16,30,9426115.0,2.471989872563605e+18,1.0,8629324.0,2.518145430787228e+18,1.0,183270733.0,76082922.0,55,3.0,"","",2727.0,10747.0,"http://replay274.valve.net/570/7875941669_1582926429.dem.bz2",895003.0,1.0
21.0,7875992868,15898,"2024-08-01 16:13:00",2353,274,210344436.0,False,90,6627543845,"'0000000100110000'","'0000011000000000'","'00111111'","'00000001'",75,1,10,2,1,1,25,32,9303665.0,2.4618531532972017e+18,0.0,8588969.0,2.5114039800006016e+18,0.0,195415954.0,1153798101.0,55,3.0,"","",13321.0,4853.0,"http://replay274.valve.net/570/7875992868_210344436.dem.bz2",895031.0,1.0
21.0,7876006535,16059,"2024-08-01 16:18:23",1961,272,1780375808.0,True,90,6627521390,"'0000011100100111'","'0000011000000100'","'00111111'","'00001111'",115,1,10,2,5,1,29,28,8629318.0,2.50801811205341e+18,1.0,8629005.0,1.9720440230379745e+18,1.0,1049956230.0,928499811.0,55,3.0,4514.0,8717.0,"","","http://replay272.valve.net/570/7876006535_1780375808.dem.bz2",895033.0,1.0
21.0,7876011465,16953,"2024-08-01 16:21:30",2150,272,2005690956.0,False,90,6627537402,"'0000011000000100'","'0000011110111110'","'00001011'","'00111111'",5,1,10,2,5,1,14,27,9271759.0,2.297461440058923e+18,1.0,9247798.0,2.4697409345556777e+18,0.0,276449590.0,196041577.0,55,3.0,"","",0.0,25030.0,"http://replay272.valve.net/570/7876011465_2005690956.dem.bz2",894999.0,1.0
21.0,7876023533,15901,"2024-08-01 16:32:06",1556,185,770054804.0,False,90,6627539409,"'0000011100000110'","'0000011111111110'","'00110011'","'00111111'",72,1,10,2,5,1,18,56,9467112.0,2.499016543989572e+18,0.0,9476890.0,2.5294160168990715e+18,0.0,1732573798.0,285284832.0,55,8.0,"","",116.0,20654.0,"http://replay185.valve.net/570/7876023533_770054804.dem.bz2",895006.0,1.0
21.0,7876072532,16059,"2024-08-01 17:00:19",1603,274,910638618.0,True,90,6627567421,"'0000011100110111'","'0000011100000100'","'00111111'","'00111111'",74,1,10,2,5,1,43,22,8629005.0,1.9720440230379745e+18,1.0,8629318.0,2.50801811205341e+18,1.0,928499811.0,1049956230.0,55,3.0,588.0,10688.0,"","","http://replay274.valve.net/570/7876072532_910638618.dem.bz2",895033.0,1.0
21.0,7876130587,16953,"2024-08-01 17:43:54",1480,271,1107099374.0,True,90,6627620528,"'0000011110110111'","'0000011111000100'","'00111111'","'00110011'",15,1,10,2,5,1,27,13,9373270.0,2.421319307290272e+18,1.0,9466943.0,2.547430415563821e+18,1.0,152455523.0,369342470.0,55,3.0,1497.0,7436.0,"","","http://replay271.valve.net/570/7876130587_1107099374.dem.bz2",895054.0,1.0
21.0,7876150243,15901,"2024-08-01 17:57:05",2074,182,322575763.0,False,90,6627647968,"'0000011110000100'","'0000011110110110'","'00110011'","'00111111'",222,1,10,2,5,1,27,44,9476660.0,2.510276327850889e+18,0.0,9395679.0,2.499008933815848e+18,0.0,1707472173.0,1674266188.0,55,8.0,"","",3058.0,19388.0,"http://replay182.valve.net/570/7876150243_322575763.dem.bz2",895057.0,1.0
21.0,7876196300,16635,"2024-08-01 18:27:57",1704,271,634086782.0,False,90,6627688500,"'0000001000100110'","'0000011111110110'","'00001111'","'00111111'",269,1,10,2,5,1,29,30,8957156.0,2.4314535822723364e+18,0.0,8849990.0,2.412313289525493e+18,0.0,264869776.0,120488420.0,55,3.0,"","",717.0,15724.0,"http://replay271.valve.net/570/7876196300_634086782.dem.bz2",895065.0,1.0
21.0,7876204003,16953,"2024-08-01 18:39:21",1479,271,1276476251.0,True,90,6627682339,"'0000011110110111'","'0000011110000100'","'00111111'","'00110011'",147,1,10,2,5,1,28,9,9373270.0,2.421319307290272e+18,1.0,9466943.0,2.547430415563821e+18,1.0,152455523.0,369342470.0,55,3.0,454.0,15457.0,"","","http://replay271.valve.net/570/7876204003_1276476251.dem.bz2",895054.0,1.0
21.0,7876263275,15901,"2024-08-01 19:14:08",2479,183,899137881.0,False,90,6627743482,"'0000000100000100'","'0000011110110110'","'00110011'","'00111111'",0,1,10,2,1,1,35,56,9395679.0,2.499008933815848e+18,0.0,9476660.0,2.510276327850889e+18,0.0,1674266188.0,339941742.0,55,8.0,"","",3743.0,21888.0,"http://replay183.valve.net/570/7876263275_899137881.dem.bz2",895057.0,1.0
21.0,7876282751,16635,"2024-08-01 19:29:23",1799,272,1022807581.0,True,90,6627741411,"'0000011100110110'","'0000000100000100'","'00111111'","'00110011'",44,1,10,2,1,1,33,28,8849990.0,2.412313289525493e+18,0.0,8957156.0,2.4314535822723364e+18,0.0,120488420.0,264869776.0,55,3.0,2077.0,12413.0,"","","http://replay272.valve.net/570/7876282751_1022807581.dem.bz2",895065.0,1.0
21.0,7876347469,16635,"2024-08-01 20:16:52",1967,272,744474511.0,True,90,6627795796,"'0000011110000110'","'0000011000100110'","'00110011'","'00001111'",152,1,10,2,5,1,40,23,8849850.0,2.504646219095012e+18,1.0,8849833.0,2.047503411652997e+18,1.0,250144463.0,311095642.0,55,3.0,3791.0,3004.0,"","","http://replay272.valve.net/570/7876347469_744474511.dem.bz2",895085.0,1.0
21.0,7876356280,15901,"2024-08-01 20:25:10",2350,182,571789561.0,False,90,6627819097,"'0000011100000000'","'0000011110110110'","'00111000'","'00111111'",14,1,10,2,5,1,46,66,9493513.0,2.4877607159227023e+18,0.0,9476660.0,2.510276327850889e+18,0.0,1792617337.0,339941742.0,55,8.0,"","",-100.0,23473.0,"http://replay182.valve.net/570/7876356280_571789561.dem.bz2",895086.0,1.0
21.0,7876401673,16635,"2024-08-01 21:02:46",1823,272,851684922.0,False,90,6627838194,"'0000011000110111'","'0000011110110110'","'00011111'","'00111111'",227,1,10,2,5,1,24,37,8849833.0,2.047503411652997e+18,1.0,8849850.0,2.504646219095012e+18,1.0,311095642.0,250144463.0,55,3.0,"","",3703.0,6249.0,"http://replay272.valve.net/570/7876401673_851684922.dem.bz2",895085.0,1.0
21.0,7876639030,16901,"2024-08-02 02:29:04",2572,232,1223436801.0,True,90,6628040677,"'0000011110100110'","'0000000000000000'","'00111111'","'00000000'",99,1,10,2,1,1,33,27,7554697.0,1.8278945889751053e+18,0.0,8597976.0,2.0283479914082035e+18,1.0,111620041.0,293904640.0,55,25.0,1363.0,12611.0,"","","http://replay232.valve.net/570/7876639030_1223436801.dem.bz2",895153.0,1.0
