leagueid,match_id,radiant_team_id,radiant.name,radiant.tag,radiant_score,dire_team_id,dire.name,dire.tag,dire_score,radiant_win
14713,6960546745,,,,25,,,,46,False
14713,6960567434,,,,42,,,,10,True
14664,6960593446,,,,35,,,,34,False
14850,6960628572,,,,40,,,,21,True
14713,6960644901,,,,2,,,,16,False
14713,6960655110,,,,38,,,,52,False
14713,6960655867,,,,51,,,,42,True
14664,6960679255,,,,38,,,,31,True
14850,6960711437,,,,18,,,,28,False
14713,6960731148,,,,24,,,,62,False
14664,6960746997,,,,30,,,,18,True
14850,6960780784,,,,46,,,,21,True
14713,6960787389,,,,50,,,,42,False
14713,6960790110,,,,0,,,,0,True
14664,6960797635,,,,47,,,,43,False
14713,6960798174,,,,35,,,,57,False
14664,6960864641,,,,17,,,,37,False
14940,6960872260,,,,35,,,,40,False
14713,6960898604,,,,56,,,,27,True
14664,6960901776,,,,31,,,,24,True
14940,6960922820,,,,38,,,,38,False
14659,6961090773,,,,41,,,,27,True
14894,6961103367,,,,0,,,,0,False
14894,6961106959,,,,28,,,,21,True
14659,6961128165,,,,33,,,,25,True
14927,6961132372,,,,12,,,,30,False
14904,6961138828,,,,27,,,,11,True
14894,6961141347,,,,43,,,,22,True
14800,6961160299,,,,18,,,,44,False
14659,6961169446,,,,12,,,,28,False
14894,6961179349,,,,38,,,,21,True
14904,6961186116,,,,23,,,,39,False
14927,6961188942,,,,26,,,,16,True
14800,6961208136,,,,37,,,,23,True
14659,6961211013,,,,28,,,,37,False
14894,6961220379,,,,16,,,,24,False
14659,6961251330,,,,26,,,,44,False
14894,6961252724,,,,40,,,,32,True
14927,6961292486,,,,26,,,,19,True
14659,6961295383,,,,19,,,,45,False
14894,6961298144,,,,36,,,,51,False
14659,6961350166,,,,21,,,,38,False
14894,6961351548,,,,52,,,,24,True
14927,6961360846,,,,39,,,,46,True
14565,6961385088,,,,53,,,,35,True
14894,6961409994,,,,36,,,,26,True
14659,6961410493,,,,27,,,,24,True
14565,6961445886,,,,11,,,,42,False
14659,6961464300,,,,36,,,,18,True
14894,6961467453,,,,64,,,,41,True
14565,6961477373,,,,46,,,,28,True
14927,6961496259,,,,21,,,,12,True
14565,6961524663,,,,46,,,,34,True
14659,6961528276,,,,23,,,,34,False
14894,6961533720,,,,35,,,,57,False
14565,6961551286,,,,0,,,,0,True
14565,6961583728,,,,35,,,,44,False
14927,6961606251,,,,23,,,,9,True
14565,6961659964,,,,19,,,,50,False
14927,6961708078,,,,16,,,,29,False
14565,6961712070,,,,29,,,,36,False
14892,6961787820,,,,27,,,,23,True
14565,6961819287,,,,38,,,,26,True
14565,6961846695,,,,27,,,,43,False
14892,6961947997,,,,24,,,,35,False
14565,6961964100,,,,0,,,,0,True
14565,6962019281,,,,19,,,,37,False
14664,6962045938,,,,16,,,,41,False
14892,6962104357,,,,13,,,,31,False
14850,6962113118,,,,34,,,,43,False
14565,6962122918,,,,6,,,,39,False
14664,6962140030,,,,21,,,,6,True
14892,6962208522,,,,18,,,,46,False
14565,6962213540,,,,2,,,,1,True
14850,6962229787,,,,34,,,,40,True
14664,6962242489,,,,21,,,,41,False
14565,6962270377,,,,34,,,,42,False
14664,6962325857,,,,9,,,,41,False
14565,6962372739,,,,16,,,,50,False
14850,6962390747,,,,42,,,,19,True
14664,6962404886,,,,29,,,,38,False
14892,6962415847,,,,15,,,,30,False
14850,6962461559,,,,24,,,,54,False
14664,6962478158,,,,33,,,,22,True
14892,6962494854,,,,10,,,,27,False
14664,6962523559,,,,31,,,,33,False
14892,6962551667,,,,22,,,,30,False
14893,6962560229,,,,25,,,,9,True
14893,6962605180,,,,15,,,,32,False
14893,6962676451,,,,36,,,,18,True
14800,6962711872,,,,49,,,,47,True
14893,6962712363,,,,5,,,,43,False
14800,6962759331,,,,54,,,,36,True
14904,6962759938,,,,35,,,,41,False
14894,6962760427,,,,24,,,,35,False
14659,6962762693,,,,21,,,,28,False
14894,6962797829,,,,28,,,,41,False
14904,6962800854,,,,14,,,,56,False
14659,6962801807,,,,34,,,,42,True
14870,6962812762,,,,6,,,,33,False
14800,6962832325,,,,35,,,,53,False
14904,6962837648,,,,38,,,,53,False
14894,6962842465,,,,26,,,,38,False
14659,6962842619,,,,20,,,,45,False
14870,6962861210,,,,32,,,,27,False
14800,6962874431,,,,59,,,,63,True
14904,6962876375,,,,48,,,,47,True
14894,6962888053,,,,45,,,,37,True
14659,6962888324,,,,37,,,,29,True
14870,6962937990,,,,12,,,,5,True
14894,6962938512,,,,39,,,,41,False
14659,6962945169,,,,35,,,,25,True
14859,6962950172,,,,17,,,,38,False
14659,6962997301,,,,18,,,,38,False
14894,6963005315,,,,19,,,,35,False
14870,6963009314,,,,30,,,,42,False
14859,6963022954,,,,35,,,,24,True
14659,6963050112,,,,38,,,,26,True
14894,6963060440,,,,7,,,,27,False
14870,6963090600,,,,9,,,,31,False
14894,6963094476,,,,28,,,,47,False
14659,6963111246,,,,39,,,,44,True
14859,6963148453,,,,26,,,,13,True
14948,6963150952,,,,18,,,,32,False
14894,6963151968,,,,13,,,,38,False
14858,6963156009,,,,13,,,,29,False
14565,6963185296,,,,9,,,,39,False
14659,6963195177,,,,41,,,,13,True
14894,6963201284,,,,41,,,,28,True
14565,6963202786,,,,10,,,,42,False
14948,6963213218,,,,31,,,,23,True
14859,6963234067,,,,21,,,,32,False
14565,6963246852,,,,44,,,,43,True
14858,6963255269,,,,19,,,,9,True
14565,6963263751,,,,53,,,,41,True
14691,6963349498,,,,9,,,,39,False
14858,6963357532,,,,28,,,,10,True
14565,6963387949,,,,13,,,,45,False
14691,6963452748,,,,52,,,,33,True
14565,6963471379,,,,48,,,,67,False
14858,6963473846,,,,41,,,,27,True
14565,6963579585,,,,42,,,,46,False
14691,6963584606,,,,38,,,,12,True
14858,6963627455,,,,12,,,,30,False
14664,6963692488,,,,39,,,,19,True
14691,6963696590,,,,30,,,,4,True
14565,6963758548,,,,11,,,,42,False
14850,6963780209,,,,10,,,,26,False
14664,6963787240,,,,33,,,,22,True
14691,6963798358,,,,45,,,,28,True
14565,6963822341,,,,21,,,,43,False
14886,6963839653,,,,16,,,,34,False
14850,6963878198,,,,41,,,,19,True
14664,6963887264,,,,27,,,,18,True
14565,6963894123,,,,47,,,,57,True
14691,6963897381,,,,42,,,,12,True
14886,6963935873,,,,29,,,,18,True
14664,6963975447,,,,25,,,,18,True
14940,6964007995,,,,26,,,,36,False
14850,6964031481,,,,15,,,,30,False
14783,6964035466,,,,36,,,,25,True
14664,6964039887,,,,34,,,,24,True
14886,6964041115,,,,14,,,,43,False
14850,6964099537,,,,22,,,,6,True
14664,6964110901,,,,37,,,,20,True
14886,6964112100,,,,16,,,,30,False
14783,6964127779,,,,40,,,,19,True
14850,6964134263,,,,36,,,,34,True
14664,6964161971,,,,29,,,,47,False
14850,6964190740,,,,24,,,,38,False
14783,6964214258,,,,40,,,,49,False
14850,6964237571,,,,9,,,,34,False
14783,6964261858,,,,38,,,,45,False
14886,6964268186,,,,16,,,,24,False
14940,6964287204,,,,4,,,,15,False
14800,6964397206,,,,50,,,,37,True
14659,6964419184,,,,25,,,,24,True
14894,6964431043,,,,25,,,,35,False
14800,6964448382,,,,59,,,,47,True
14659,6964465122,,,,15,,,,44,False
14927,6964465573,,,,53,,,,38,False
14894,6964471295,,,,16,,,,41,False
14800,6964494222,,,,24,,,,16,True
14659,6964501284,,,,39,,,,28,True
14894,6964503980,,,,21,,,,39,False
14948,6964520064,,,,16,,,,29,False
14927,6964536365,,,,51,,,,44,True
14894,6964541738,,,,17,,,,27,False
14659,6964549862,,,,44,,,,54,False
14800,6964557454,,,,57,,,,32,True
14948,6964564180,,,,40,,,,48,False
14894,6964578775,,,,31,,,,22,True
14659,6964603386,,,,24,,,,42,False
14927,6964620736,,,,32,,,,30,True
14894,6964626565,,,,16,,,,35,False
14800,6964644913,,,,16,,,,49,False
14659,6964657169,,,,49,,,,30,True
14894,6964671082,,,,29,,,,59,False
14948,6964679682,,,,0,,,,0,False
14927,6964688198,,,,24,,,,38,False
14948,6964694599,,,,56,,,,25,True
14800,6964698900,,,,18,,,,42,False
14894,6964721972,,,,42,,,,33,True
