date,player,1st_order_CON_score,2nd_order_CON_score,full_CON_score,pagerank,closeness,in_degree,out_degree,betweenness
12march2024,Blitzstream,16,325,467,0.004711737224241569,0.1924228625048297,2,4,0.009065950062587093
12march2024,mitrabhaa,27,652,854,0.00886534521398839,0.20205906219208253,5,5,0.016276449758092736
12march2024,Jospem,34,638,1023,0.016860467043520184,0.2587489794403622,11,11,0.06692680854036676
12march2024,Ginzburg_Yakov,4,64,96,0.0011809682674214803,0.0,0,1,0.0
12march2024,alexrustemov,4,125,164,0.005146347463495575,0.21663714889386032,3,1,0.0021210314377805256
12march2024,TregubovP,0,0,0,0.0025804158739547774,0.1830065359477124,1,0,0.0
12march2024,SantoBlue,3,188,259,0.006204335895296145,0.14556453296588584,2,3,0.008628125570955028
12march2024,jaskol95,0,0,0,0.002760687394890104,0.17610062893081763,1,0,0.0
12march2024,rdarruda,0,0,0,0.002314041357896615,0.17329796640141468,1,0,0.0
12march2024,BogdanDeac,27,538,804,0.013727801581635049,0.25316811909949166,11,8,0.04142403601559875
12march2024,baki83,8,196,258,0.003106068781066772,0.1950388832941703,1,1,0.0008470999523971099
12march2024,Sattarov_Bobur,5,124,183,0.0033295572356408193,0.18497957126180622,2,1,0.0014896997382462503
12march2024,GothamChess,0,0,0,0.0020023084008104495,0.17729534147444595,1,0,0.0
12march2024,SuperPower2011,0,0,0,0.002760687394890104,0.17610062893081763,1,0,0.0
12march2024,Vladimir_Zakhartsov,26,525,762,0.008066422895775995,0.21519290123456788,5,5,0.025857659778933423
12march2024,Polish_fighter3000,38,719,1093,0.015615995250448645,0.26189805424085344,11,11,0.07107567986292193
12march2024,vi_pranav,34,659,987,0.01481378845849833,0.23647571564238232,8,9,0.03747279546109016
12march2024,eagleclaw07,10,294,386,0.0011809682674214803,0.0,0,2,0.0
12march2024,remi04,0,0,0,0.004480365221408928,0.21350762527233116,2,0,0.0
12march2024,Meri-Arabidze,4,102,129,0.0038021866571154414,0.15118939196808048,1,1,0.0017671205720301325
12march2024,DryCounty,1,53,81,0.0011809682674214803,0.0,0,1,0.0
12march2024,luckyswitchback,5,49,92,0.0011809682674214803,0.0,0,1,0.0
12march2024,MikaelyanArman,26,543,734,0.0045546921255511215,0.1992526863283036,3,4,0.01289272109259523
12march2024,Mops_2004,5,49,92,0.005451794012855886,0.21062926711376956,3,1,0.0013996088567044512
12march2024,AlexeiShirov,12,247,342,0.0011809682674214803,0.0,0,2,0.0
12march2024,KNVB,0,0,0,0.002615894856192068,0.1830065359477124,1,0,0.0
12march2024,Alexchess1984,14,243,361,0.0011809682674214803,0.0,0,2,0.0
12march2024,vasblesk,21,577,802,0.006625783086652446,0.19043619578280346,4,5,0.012949694604731502
12march2024,Firouzja2003,49,786,1164,0.010957640881712449,0.23097628039488505,8,10,0.038082318648665556
12march2024,Zohid6,20,377,517,0.009466955690482925,0.204945620223398,4,3,0.012319331192822015
12march2024,Sychev_on_YouTube,18,408,541,0.0037932334051395734,0.1783366584816861,2,4,0.010818810101755836
12march2024,Grischuk,20,449,690,0.006541951423108717,0.20301217097600746,4,6,0.017348753812182115
12march2024,DishonorOnYourCow,0,0,0,0.0024837237124210373,0.19590204897551222,1,0,0.0
12march2024,Semyon_Khanin,10,212,286,0.0054237460661020484,0.18987608932461872,2,1,0.002452069774421196
12march2024,jumpingknight20,0,0,0,0.003038442517415031,0.16312942155638785,1,0,0.0
12march2024,DeArron_Fox,0,0,0,0.002107835159759422,0.1625207296849088,1,0,0.0
12march2024,KChor05,7,127,172,0.0011809682674214803,0.0,0,1,0.0
12march2024,ameetghasi100,5,75,121,0.0011809682674214803,0.0,0,1,0.0
12march2024,chessllermo,0,0,0,0.002184788680648237,0.004629629629629629,1,0,0.0
12march2024,carokannlover213,4,48,69,0.0024084072270453044,0.1503093605829345,1,1,0.0011591821184844437
12march2024,Witik,4,125,164,0.0031544589431429923,0.17883066584590132,2,1,0.000883310153335993
12march2024,ChristopherYoo,24,634,855,0.005765773884722935,0.21062926711376956,4,5,0.018080265065113496
12march2024,CarlosjPineror,0,0,0,0.001917155615372538,0.17306843267108168,1,0,0.0
12march2024,Kildepiotr,10,148,225,0.0011809682674214803,0.0,0,1,0.0
12march2024,Mysterio47,0,0,0,0.0022722554719814734,0.18992248062015504,1,0,0.0
12march2024,IlyaGrigorjev,4,48,69,0.0031152535188299314,0.17883066584590132,1,1,0.0019582674718333633
12march2024,DamianoLew95,13,253,365,0.0011809682674214803,0.0,0,2,0.0
12march2024,snowlord,27,503,715,0.005673471848340561,0.18159738500807418,3,3,0.010886431575056492
12march2024,Goryachkina,10,148,225,0.0022722554719814734,0.18876570283734026,1,1,0.0
